,reviews
73,"
Does anyone have battery drain issue? Even it's a 6000 mah battery it's gets drained too fast than my realme XT with 4000 mah battery which I used before.
"
74,"
Phone is good i will update my riview after some days ... using it now.The charger absense is disturbing yo need to buy it 1100/-
"
75,"
This is very average phone for this price point, amoled was very average. Lot of bloatwares.. poor RAM management, wifi reception is very poor. Battery is average if you charger 85% it will last one day if you're not gamer. If you play any games this phone is not suitable for you, wifi calling very frustrated frequently switching to volte and wifi, samsungs OS upgrade is a gimik, this phone won't last for 4 years, based on my last 2 weeks usage. Samsung please try to avoid these type of toys, we are buying phones from Samsung for your credibility, these kind of phones will lose your credibility.
"
76,"
Very good battery backup and display
"
77,"
It is good
"
78,"
This mobile very good but network issu
"
79,"
Good one
"
80,"
Pros:1. Camera is good and OIS works well.2. Battery life is really great.3. 120hz AMOLED screen looks amazing.Cons:1. The processor is not really powerful enough for gaming but can get you by daily tasks.2. Heating issues.I preordered it and got the charger free with it.It is a great phone for day to day tasks and if you don't play heavy games on mobile.
"
81,"
Nice phone. Performs reasonably well in all aspects. Would have loved to have a charger along with mobile. Also hopefully the mobile does not face any green line issue in future.
"
82,"
On July 16, 2023, a Samsung Galaxy M34 was given to me. Phone was excellent, but when I attached the power bank to the phone, if the power bank became empty and you removed it, the phone will continue to alert you that the USB port was disconnected or connected.There is no way to remove this bag; it is what it is. To delete the notification in this situation, you must restart your mobile device.
"
83,"
1. day to day use... 5/52.Battery 5/53.Picture quality 5/54. Camera 3/5Maximum 1080 video content support in youtube... It is negative.... Side fingerprint good. സാധരണ ഉപയോഗത്തിന് വളരെ നല്ല പ്രോഡക്റ്റ് ആണ്...ക്യാമറ avg മാത്രം... No ഹാങ്ങ്‌...  ക്യാമറ & നോച്ച് ഡിസ്പ്ലേ മാറ്റി നിർത്തിയാൽ നല്ല അനുഭവം തരുന്നു
"
84,"
Good
"
85,"
Wonderful mobile
"
86,"
with a 50MP camera falls short of expectations. Despite the impressive megapixel count, the camera's performance does not match up to the promised image quality.
"
87,"
At the price this is launched, the features are completely worth it. Works smooth. Camera is also pretty good.
"
88,"
19000 me Average phone hai ye ya ghatiya hi kehna chahiye, samsung ko pata ni kya ho gaya hai 20000 ki range me kharab phone bana rahe hai upar se charger ni de rahe infact 100 ka backcover aata h wo tak ni de rahe h, market me inke temper glass and backcover tak available nahi hai isse acha to 12000 ki range me samsung de deta tha, 150 minutes lagte h full charge me with 25 watt charger, phone lekar guilt ho raha h ab.
"
89,"
Pros:- Camera and Display is good,Cons:- Battery heavy draining issue, heating like griddle, software is not optimisedOnly 5-6 hours battery backup of 6000 mah battery. Samsung says 2 days battery backup in normal usage but  2 times full charging need in a whole day.
"
90,"
Best phone
"
91,"
Camera good as this price range. Phone display very nice. Battery perform full day after fully charged, it can take 1 hour 25 minutes to charged.Cons. Charger not provide by company.
"
92,"
Its a decent phone for parents and grand parents with 1 to 1.5 day of battery life and amazing display to watch videos and stuff. Not for youngsters
"
93,"
I am writing this review after a week of using this phone.Everything is good as expected from samsung except battery life which is unexpected from 6000mAh pack.Battery goes from 85% to 20% in 10-12 hours moderate use in a day.
"
94,"
Good phone got it in 16700 ..... Great for day to day task.... One Can surely go for it.
"
95,"
After using over month. I found touch and feel is good.Camera is just ok not as good as i used in 7T. It literally hangs most times when you multi task. When navigating to multiple apps it lags and screen gets stuck for seconds. Ok for daily driver basic needs.  But not if you use multiple heavy apps. Hope it gives some idea whether to choose this or not.
"
96,"
1. Display v.good,2.Camera good 3.BatteryCons. 1 processer 2 phone heating issue 3 phone weightUpdates coming will be solve on ✋️Overall  good phone normal users
"
97,"
I like features  and camera quality.All is good.
"
98,"
Great phone ever in this range. Nice battery back up. Good camera quality fast charging. Smooth running. All over good. Must buy it
"
99,"
For daily use it's ok, if 120hz refresh rate screen turned on then the battery will drain in a day. And main camera is not supported OIS, no shake camera only works to take video but the quality of video will get decrease. Big bulky mobile, sometime lag issues can be seen. Jio 4g won't work properly as it automatically takes 5G. If 5G option turned on battery will drain Faster.
"
100,"
Fast battery drain
"
101,"
Everything is good but the camera quality is not good at indoor clicking....
"
102,"
This is working perfectly fine with good camera features. Sound or music quality could have been better.
"
103,"
I bought 16k is fair dealPros:1.Amoled & Refresh Rate2.Battery3.Software UpdatesCons:1.Exynos manageable, But Long Term Software Updates Processor can Handle?(My expectation is Snapdragon Processor)2.Charger not included
"
104,"
Nice screen, good speaker, great camera..during setup it was getting warm (not hot). I can call it entertainment box. Tried playing Asphalt 9, it was good.
"
105,"
In its price range it is the best phoneif sond quality would have been  improved a bit it will be the best phone in it's price range.
"
106,"
Best brand product is this segment
"
107,"
I like the device just for camera and software but it is slow and you can feel it. Somehow feels slower than narzo 20 pro.
"
108,"
As I was earlier having M30 it was very easy to align..best part is battery 6000 mah, Amoled display, fast processor, hig resoln camera,  6 GB ram, 128 GB memory etcSize also good..weight slightly higher..but not bulky..go for it
"
109,"
Nicely phone
"
110,"
Every review that you have seen about this phone is true to quite an extent.Great camera, good features, and premium quality and is the perfect size for me. I would prefer a 6"" phone but that's the best you can get. It's a little on the heavier side but it doesn't really matter if you are using headphones.The cons:1 - Battery drains really fast. The reviews I saw did not warn about it. This is my biggest grudge, having gone a bit over budget.2 - Samsung's boring UI. BTW I never imagined I would buy a Samsung product. But seeing the comparos with iPhone 14, I felt I should give it a go. One Plus, for instance, gives a swipe option to go back to the previous page. Samsung still depends on the back button at the bottom of the phone. After using One Plus, this seems prehistoric and inconvenient. It would request Samsung if they make this small change.3 - For some weird reason, it takes very long to start. It's a costly phone. I do not expect it to be so slow4 - Again, the reviews I watched said it only warms up a bit only if after heavy usage like gaming. This one heats up at times to the point of getting uncomfortable. However, it does get cooled down if you just close the apps.5 - 25W charging at this price is quite low but I understand. The heating issues of the previous models might have to do something with it.Hope my review will help you make an informed decision.
"
111,"
This phone is a pefect upgrade from my old One plus. I had to make a hard choice between s22 and s23. I came to the conclusion that, processor used in s22 - Snapdragon 8 gen1 is inefficient (not to be confused with 8+ gen1, 8gen 1 is made by samsung foundary, 8+gen 1 is made by tsmc and works fine). So, snap 8gen1 is hot garbage. Infact it was one of the most inefficient processors produced by snapdragon+samsung in last 5 years in premium segment. That combined with low battery was just worse. It's like putting a heating processor with a smaller battery. So I decided to spend more money for this phone. Snapdragon 8 gen 2 is an actual successor of snapdragon and gives enormous battery life.After first charge, I was getting 8 hours SOT. Which is double from my old Oppo Oneplus (Haha). Plus I got upgrade on the first day, using 120 hz refresh rate with light performance mode while battery set to adaptive. I think I can push for 10 hour screen-on-time if I want to.Screen is perfect, samsung right now is the biggest supplier of screens in mobile market, so that's no doubt. Speakers are stereo and have dolby atmos mode. The UI is top tier, samsung right now has the best UI in the market. The amazing thing is, the bloatware are so well integrated into samsung ecosystem that it doesn't even feel like bloatware. I am using samsung internet/notes instead of chrome and google keep. There is also a vapor chamber in base variant of s23, which you will not find in s22 (only s22 ultra had vapor chamber). Ram booster was turned on by default, giving me 8 GB of virtual RAM but I turned it off because I heard it reduces performance. All medium-end games run at 120 FPS, and samsung has their own app for real time monitoring. You will also get 6 months spotify premium (from Amazon) and 4 months of youtube premium (from samsung) with this.I use spigen ultra hybrid case with Glazedinc tempered glass. Protip - Glazeit.shop tempered glass is compatiable with fingerprint sensor. I use their s23 tempered glass-real curved which works perfectly and costed me around ₹675 (not sponsored).Phone is expensive and price should be set around 65K, but samsung is trying to become apple of android world. Whats worse is discount is there, but they will not give it to you directly, you have to use 3 different discounts to lower the MRP which is a scummy behaviour from Samsung. No reason to give additional 7K exchange bonus, if MRP itself was lowered by 7K. Also bank credit card discount are insane (around 8K). This will bring MRP in the range of 60K instead of 75K. My point is to give discount directly instead of bypassing it from somewhere. Also availing warranties and sales after service is bad, I still have to manually find out about youtube premium membership because samsung never mentioned it anywhere.So, this is the best phone is premium segment apart from s23 ultra. If you are looking for a handy premium smartphone and can't manage big screen on s23 ultra, this is the way to go.Cons -Screen has no dolby vision, its is limited to 16M colors instead of 1 Billion and is 1080p. Bluetooth codecs are limited to sbc, aac and ssc (samsungs seamless codec). So for HD audio you have to go with SSC, samsungs buds 2 Pro, since aptx won't work, although sonys Ldac can work. Inbuilt video player of samsung cannot play some audio formats like dolby truehd, or dts. Only AC3 or AAC are relevant.Edit 1. People should not use Samsung Smart switch to restore their data to new phone. I have heard it reduces battery life. Instead manually copy photos, contacts everything etc.Edit 2. Moonshots on higher model i.e. s23 ultra are kinda fake since it uses ai scene optimizer to place a picture of moon on real moon. But nothing to worry about this model.Edit 3. Don't use samsung smart switch to transfer files to your new phone. It is bugged and keeps draining battery. Manually transfer big files. If you had used it, you can factory reset your phone if you notice your battery life is not up to the mark. I didn't use smart switch and easily got 8 hours.Edit 4. - saw some people complaining about battery. Initially battery life will be about 5hrs, cause phone uses adaptive setting, means it learns usage patterns initially for few days(you could turn that off in battery settings). Also, there was a software bug with the keyboard always on, and consuming extra battery (it's been fixed). You should easily see 7-8 hours of battery life after that.
"
112,"
I wanted a compact phone with overall good performance and Camera. After months of Research I was thinking to go for Pixel 6a or 7a or Pixel 7 but none of the mobile in India did not had 256gb option I went for Samsung S23 256gb as I had got good exchange offer and discount. First few days I was worries about Battery but if we have Battery Protection option which will charge mobile till 85% it will not last a full day if we use much. So I started charging above 95% a d I am very much satisfied with Battery performance. But the biggest disappointment comes from the Camera Performance which is lacking Consistancy. Sometimes the photo looks so good with bright colours but many a times particularly when you are trying to capture a moving person the photos are very bad and many a times the photos looks stretched and the light glare issue as reported by many others is still seen. Sometimes the photos taken will look like painting with dark colors and it does not even look natural. Software wise Iam coming from Pixel 4a but still I don't miss it but when it comes to Camera the satisfaction which I had with Pixel 4a is lacking badly in my Samsung Galaxy S23. I hope Samsung will provide updates with major improvement in Camera as Software Updates will be provided for 4 years and I feel that too much focus was give on Ultra and the base S23 was missed to focus even though the Price of S23 is still high. If Camera is main focus do not go for S23. This is my first Flagship Device and I wanted to use my device atleast 4 to 5 years so Camera Update will be my major expectation from Samsung and Battery Performance should remain the same.
"
113,"
Mobile simple superb and I opted for technician but he didn't do proper response and In call he said to delete all apps so that he will pick up my exchange
"
114,"
Totally satisfied with the product quality for age 23 mobile. Display is fascinating, camera is outstanding, processing speed is good, battery backup also is reasonable. Also the audio sound quality is exceptionally good.
"
115,"
Purchased on May23 and using as daily driver . Extremely happy with the performance, battery backup, looks. Its compact size makes it extremely handly to use.
"
116,"
Easy to use single handed, good cameras, great display, decent battery and nice speakers. Samsung's OneUI is also much more stable and smoother than expected.
"
117,"
Bought 256GB variant for ₹73,500. Got same day delivery.Packaging could have been better. There were no bubble wraps. But the contents were intact.Now coming to the phone, since most people will be concerned about battery life, I will start with that, there is no need to worry. It comfortably lasts for a full day, provided that you are mostly on Wi-Fi. I have added screenshots of battery stats. For the first 3 stats the phone was connected to Wi-Fi for about 80% of the time. For the last one phone was on mobile data for 90% of the time. The phone takes around 1hr 15 mins to charge when using a 20 watt power adapter.Other aspects of the phone are also superb, like camera, smoothness of the UI. I hope Samsung doesn’t mess that up with software updates.PS: I am using the Ringke Fusion-X  case with the phone.
"
118,"
Battery Backup is Very Good for one day
"
119,"
Mine 8gb,256gb varient purchase after 1 month Someone says this phone cant perform in battery well lag blah blah...Dont care about creepy words just You use it then speak it...Once am charge its battery is very good See the screenshots i charge 1 or 2am at night, 8am office Solidly its give around 8 or 9pm with 15 percentage charge Am not heavy user its good for me...Smooth...Butter... Comfortable in hand No weight...i dont know in camera am not a camera lovers Samung only gives 4 yrs of os and 5 yrs ofsecurity patch ,Nowadays oneplus also say this os updates i think Its for sale purpose but Samsung say years ago for this software updates....finallyBattery backup is very good *Note:its only 3900mahBattery is slow its okay i will do my things 😅Less weightComfortable in handPowerful chipStereo speakersCharger and cases separately buy is totally messedUltrasonic sensor finger printDisplay is always best for samsung mainly in s23 seriesAdaptive refreshingInculding chinese phones give App lock,screenshot gestures,background play but Samsung...Nothing to give oh...CreepyThis my user experience if u are normal user go for it...Best choice upto 2027.
"
120,"
Every review that you have seen about this phone is true to quite an extent.Great camera, good features, and premium quality and is the perfect size for me. I would prefer a 6"" phone but that's the best you can get. It's a little on the heavier side but it doesn't really matter if you are using headphones.The cons:1 - Battery drains really fast. The reviews I saw did not warn about it. This is my biggest grudge, having gone a bit over budget.2 - Samsung's boring UI. BTW I never imagined I would buy a Samsung product. But seeing the comparos with iPhone 14, I felt I should give it a go. One Plus, for instance, gives a swipe option to go back to the previous page. Samsung still depends on the back button at the bottom of the phone. After using One Plus, this seems prehistoric and inconvenient. It would request Samsung if they make this small change.3 - For some weird reason, it takes very long to start. It's a costly phone. I do not expect it to be so slow4 - Again, the reviews I watched said it only warms up a bit only if after heavy usage like gaming. This one heats up at times to the point of getting uncomfortable. However, it does get cooled down if you just close the apps.5 - 25W charging at this price is quite low but I understand. The heating issues of the previous models might have to do something with it.Hope my review will help you make an informed decision.
"
121,"
This phone is a pefect upgrade from my old One plus. I had to make a hard choice between s22 and s23. I came to the conclusion that, processor used in s22 - Snapdragon 8 gen1 is inefficient (not to be confused with 8+ gen1, 8gen 1 is made by samsung foundary, 8+gen 1 is made by tsmc and works fine). So, snap 8gen1 is hot garbage. Infact it was one of the most inefficient processors produced by snapdragon+samsung in last 5 years in premium segment. That combined with low battery was just worse. It's like putting a heating processor with a smaller battery. So I decided to spend more money for this phone. Snapdragon 8 gen 2 is an actual successor of snapdragon and gives enormous battery life.After first charge, I was getting 8 hours SOT. Which is double from my old Oppo Oneplus (Haha). Plus I got upgrade on the first day, using 120 hz refresh rate with light performance mode while battery set to adaptive. I think I can push for 10 hour screen-on-time if I want to.Screen is perfect, samsung right now is the biggest supplier of screens in mobile market, so that's no doubt. Speakers are stereo and have dolby atmos mode. The UI is top tier, samsung right now has the best UI in the market. The amazing thing is, the bloatware are so well integrated into samsung ecosystem that it doesn't even feel like bloatware. I am using samsung internet/notes instead of chrome and google keep. There is also a vapor chamber in base variant of s23, which you will not find in s22 (only s22 ultra had vapor chamber). Ram booster was turned on by default, giving me 8 GB of virtual RAM but I turned it off because I heard it reduces performance. All medium-end games run at 120 FPS, and samsung has their own app for real time monitoring. You will also get 6 months spotify premium (from Amazon) and 4 months of youtube premium (from samsung) with this.I use spigen ultra hybrid case with Glazedinc tempered glass. Protip - Glazeit.shop tempered glass is compatiable with fingerprint sensor. I use their s23 tempered glass-real curved which works perfectly and costed me around ₹675 (not sponsored).Phone is expensive and price should be set around 65K, but samsung is trying to become apple of android world. Whats worse is discount is there, but they will not give it to you directly, you have to use 3 different discounts to lower the MRP which is a scummy behaviour from Samsung. No reason to give additional 7K exchange bonus, if MRP itself was lowered by 7K. Also bank credit card discount are insane (around 8K). This will bring MRP in the range of 60K instead of 75K. My point is to give discount directly instead of bypassing it from somewhere. Also availing warranties and sales after service is bad, I still have to manually find out about youtube premium membership because samsung never mentioned it anywhere.So, this is the best phone is premium segment apart from s23 ultra. If you are looking for a handy premium smartphone and can't manage big screen on s23 ultra, this is the way to go.Cons -Screen has no dolby vision, its is limited to 16M colors instead of 1 Billion and is 1080p. Bluetooth codecs are limited to sbc, aac and ssc (samsungs seamless codec). So for HD audio you have to go with SSC, samsungs buds 2 Pro, since aptx won't work, although sonys Ldac can work. Inbuilt video player of samsung cannot play some audio formats like dolby truehd, or dts. Only AC3 or AAC are relevant.Edit 1. People should not use Samsung Smart switch to restore their data to new phone. I have heard it reduces battery life. Instead manually copy photos, contacts everything etc.Edit 2. Moonshots on higher model i.e. s23 ultra are kinda fake since it uses ai scene optimizer to place a picture of moon on real moon. But nothing to worry about this model.Edit 3. Don't use samsung smart switch to transfer files to your new phone. It is bugged and keeps draining battery. Manually transfer big files. If you had used it, you can factory reset your phone if you notice your battery life is not up to the mark. I didn't use smart switch and easily got 8 hours.Edit 4. - saw some people complaining about battery. Initially battery life will be about 5hrs, cause phone uses adaptive setting, means it learns usage patterns initially for few days(you could turn that off in battery settings). Also, there was a software bug with the keyboard always on, and consuming extra battery (it's been fixed). You should easily see 7-8 hours of battery life after that.
"
122,"
I wanted a compact phone with overall good performance and Camera. After months of Research I was thinking to go for Pixel 6a or 7a or Pixel 7 but none of the mobile in India did not had 256gb option I went for Samsung S23 256gb as I had got good exchange offer and discount. First few days I was worries about Battery but if we have Battery Protection option which will charge mobile till 85% it will not last a full day if we use much. So I started charging above 95% a d I am very much satisfied with Battery performance. But the biggest disappointment comes from the Camera Performance which is lacking Consistancy. Sometimes the photo looks so good with bright colours but many a times particularly when you are trying to capture a moving person the photos are very bad and many a times the photos looks stretched and the light glare issue as reported by many others is still seen. Sometimes the photos taken will look like painting with dark colors and it does not even look natural. Software wise Iam coming from Pixel 4a but still I don't miss it but when it comes to Camera the satisfaction which I had with Pixel 4a is lacking badly in my Samsung Galaxy S23. I hope Samsung will provide updates with major improvement in Camera as Software Updates will be provided for 4 years and I feel that too much focus was give on Ultra and the base S23 was missed to focus even though the Price of S23 is still high. If Camera is main focus do not go for S23. This is my first Flagship Device and I wanted to use my device atleast 4 to 5 years so Camera Update will be my major expectation from Samsung and Battery Performance should remain the same.
"
123,"
Mobile simple superb and I opted for technician but he didn't do proper response and In call he said to delete all apps so that he will pick up my exchange
"
124,"
Totally satisfied with the product quality for age 23 mobile. Display is fascinating, camera is outstanding, processing speed is good, battery backup also is reasonable. Also the audio sound quality is exceptionally good.
"
125,"
Purchased on May23 and using as daily driver . Extremely happy with the performance, battery backup, looks. Its compact size makes it extremely handly to use.
"
126,"
Easy to use single handed, good cameras, great display, decent battery and nice speakers. Samsung's OneUI is also much more stable and smoother than expected.
"
127,"
Bought 256GB variant for ₹73,500. Got same day delivery.Packaging could have been better. There were no bubble wraps. But the contents were intact.Now coming to the phone, since most people will be concerned about battery life, I will start with that, there is no need to worry. It comfortably lasts for a full day, provided that you are mostly on Wi-Fi. I have added screenshots of battery stats. For the first 3 stats the phone was connected to Wi-Fi for about 80% of the time. For the last one phone was on mobile data for 90% of the time. The phone takes around 1hr 15 mins to charge when using a 20 watt power adapter.Other aspects of the phone are also superb, like camera, smoothness of the UI. I hope Samsung doesn’t mess that up with software updates.PS: I am using the Ringke Fusion-X  case with the phone.
"
128,"
Battery Backup is Very Good for one day
"
129,"
Mine 8gb,256gb varient purchase after 1 month Someone says this phone cant perform in battery well lag blah blah...Dont care about creepy words just You use it then speak it...Once am charge its battery is very good See the screenshots i charge 1 or 2am at night, 8am office Solidly its give around 8 or 9pm with 15 percentage charge Am not heavy user its good for me...Smooth...Butter... Comfortable in hand No weight...i dont know in camera am not a camera lovers Samung only gives 4 yrs of os and 5 yrs ofsecurity patch ,Nowadays oneplus also say this os updates i think Its for sale purpose but Samsung say years ago for this software updates....finallyBattery backup is very good *Note:its only 3900mahBattery is slow its okay i will do my things 😅Less weightComfortable in handPowerful chipStereo speakersCharger and cases separately buy is totally messedUltrasonic sensor finger printDisplay is always best for samsung mainly in s23 seriesAdaptive refreshingInculding chinese phones give App lock,screenshot gestures,background play but Samsung...Nothing to give oh...CreepyThis my user experience if u are normal user go for it...Best choice upto 2027.
"
130,"
SuperAndroid GOAT 2023.
"
131,"




                    The media could not be loaded.
                



 The battery backup is very poor at present. Tried tweaking multiple things including changing the performance profile to ""Light"" instead of ""Standard"". That seems to help a bit. But, it's nowhere near the 7-8 hours of screen on time reported in most Youtube reviews and user experience.My old device was a Xiaomi Redmi K20 Pro, which I exchanged for this. It had more than 100 apps installed and even with that the battery was pretty good. In this phone I have installed only a very few apps until now, so very surprised by the battery life.Many online forums including Samsung Members app have multiple reports of the same. Seems like its after the Feb 2023 update, hope it'll be fixed in their next update.(fingers crossed)Other than that it has been a very satisfying and really good experience with butter smooth animations and quick app loading, awesome screen and multimedia content from apps like Netflix is a treat to watch on it. And the ""Expert raw"" app is a beast at grabbing unprecedented level of detailing. Even if I use jpg output from it, it's still far ahead than the regular Camera app in it. However, the default camera app is also pretty solid. The camera images and videos in low light is pretty good.Another thing I liked is that most of the Samsung apps(that comes by default) which is not needed can be uninstalled.Note: One thing I learnt the hard way: If you're applying a screen guard/tempered glass afterwards, do register your fingerprint again for best detection.
"
132,"
I loved it. Before this Phone, I was using Samsung Galaxy FE 20 which is having heating and battery issues.I upgraded to this phone and everything is fantastic, with superior camera quality.The only missing thing was a charger.
"
133,"
Wow is definitely an understatement. Lavender. Such a nice device. Buttery Smooth UI, handy product. Decent camera. Just the right size. I was using poco f1 which was 6.2"". This phone is 6.1"". For me battery is not very good. But I just got it yday and am using it pretty heavy...getting used to it. Maybe over few days I'll get more backup. Still battery is pretty good for  3900mah.Apps are all pretty snappy. Am just confused abt Google apps vs Samsung apps. But am figuring it out . Haptic are also good. Not as customizable as MIUI. But it's pretty good. Some Samsung apps are kinda bloatware. So many new unfamiliar apps...other than that, everything  seems to be fine. Shall update.
"
134,"
Amazing phone
"
135,"
All are good.I m not satisfied with front camera.One more thing is that there is a heating issue whenever use Camara apps and data over mobile network.
"
136,"
ഉപയോഗിച്ചതിൽ ഏറ്റവും തൃപ്തികരമായത്.. 👍🏻🔥🔥
"
137,"
Best compact android phone and it even beats the overrated iphone for sure.
"
138,"
The Samsung Galaxy S23 is an excellent choice for anyone who's looking for a one-handed and compact smartphone. The ease of using with one hand and the screen area available for use is just about right.I have listed some points from my usage after 2 months of use - it involves everything except gaming.What's good about the device?1. Communications - Network reception is really good. It is very power efficient in 4G mode with SOT more than 8 hours.Wifi, NFC, casting, Samsung DeX- all of these work reliably well.5G Communication is also excellent but the SOT with active 5G use drops to around 6 hours.2. Display - it is good, but it would have been even better if the panel would have been the same from S23 Ultra.3. Battery life - excellent with normal usage. With calls, 4G and WiFi, and lots of streaming, it easily lasts a day. SOT of 9-10 hours can be obtained quite easily when connected to WiFi. On 5G network, obviously it'll drop off a bit.4. Performance - Excellent so far. No issues whatsoever.5. Samsung Pay - excellent features, easy to use, and I don't need to carry my wallet anymore.6. Camera - takes excellent pictures. Even the night mode works very well.What's not so good?1. Charger is missing in the box. OEMs who actually care about sustainability should not copy Apple (or others) and it's ridiculous decisions.2. Display - sometimes the display seems unresponsive in various apps. Although it is easily fixed by switching between apps or worst case, restarting the app. Not sure if it is hardware related or app related. Not all apps have this issue.When it happens, it's quite annoying.However, at the end of the day, I'm happy to have a compact and reliable phone with good network reception and excellent battery life!
"
139,"
Photocamera is excellent. Storage space is excellent. Battery life so-so. If you use it for gaming, or livestreaming battery goes off in less than half a day. Heats up outdoors even when you don't use it much. Has good screen brightness adaptability. Lightweight in hand. Not over the Moon with it though
"
140,"
Small sleek and handsome. The best camera in this segment and software performance is juts smooth. Go for it!
"
141,"
I bought it a week ago.. i upgraded  from my oneplus 6, I used that phone for 4.5 yrs. I was confused between oneplus 11 and samsung 23, after thoroughly going through reviews from experts. I zeroed on this phone,.. I like the phone no doubt. The haptics are nice and UI is smooth.But i dont know why i m facing connectivity issues in this phone. Being a flagship phone, it should  have better connectivity.. but it sucks..websites do not open, both wifi and mobile networks have some kind of bug. I am unable to use internet, i have to constantlyrefresh and restart my device for better network. I am getting  missed calls alerts via sms although  mobile network shows full strength..I think samsung should look into this. its very irritating. Never faced this issue in my 4.5 yrs old oneplus 6.
"
142,"
I would say its the best ever compact flagship phone in the entire category of mobile.I had 2 choices in the same price bracket I.e. Iphone 14 & S23 both phones have similar features in them but I chosed S23 over Iphone and remember by words it was my best decision ever ✨️Battery 10/10Display 10/10Performance 10/10UI 10/105g Connectivity 10/10Value for money 10/10Camera 10/10Overall 10/10I would suggest if you have a budget of 80/90 K go for samsung!Best ever experience 😊
"
143,"
Great camera, good battery life and smooth performance
"
144,"
All round performer. Shifted from oneplus 8t. I was little skeptical about the battery life but it came over a day on moderate usage.
"
145,"
Nice Product From Sumsung, picture and Camera Quality Was Superb and Easy To Use for smaller hands
"
146,"
The best small phone(One handed) for any one looking for it in the android world.
"
147,"
8.5/10 battery: Disabling location or setting location access to apps as 'Ask every time' and using 4G with wifi improves screen time 6+ hours and total usage over 20+ hours.9.5/10 camera: zoom over 10x is unusable majority of the times. Default camera app will try to over smooth the pixelation.10/10 form factor and look10/10 display and screen performance10/10 processor
"
148,"
Writing this review after 1 month of using this device. Phone is pretty good when it comes to build quality, feels premium. Software experience has been good so far no bugs, smooth UI. The main issue i have had with this phone is battery backup, it doesn't last whole day. Gives about 6-7 hours of screen on time on wifi and 5 hours on mobile data. Battery performance could have been better as Samsung's mid-range phones are really good at battery backup. When it comes to camera day time pics are damn good but feels little over-saturated, night mode pics are not that great feels over-exposed almost all the time.
"
149,"
The size is perfect for one handed use. 45 watt charging and UWB are the two features missing compared to S23+.
"
150,"
I have purchased this on the release day. And I got 256GB version for 50k including a S10 exchange. Being a S10 user, I felt significant difference in the device. Battery performance is improved. Screen quality, network connectivity, Wireless connectivity has good improvement. Best of all I really loved the looks. Very very premium look, I purchased the cream color and that's the best of all colours. I love it!!
"
151,"
Chota packet bada dhamaka👌👌
"
152,"
Phn is very nice and using is nice camera quality is high level games speed nice but battery backup is a shot pblm but phn always good
"
153,"
So far so good 👍
"
154,"
Battery: on average use i got 14 to 15 hrs of Battery life and 6+ hrs of screen on time. Generally it would be sufficient for one day to use (morning to evening). [Okayish]Camera: its fantastic. Portrait mode at 3x is unbelievable i don't think even iphone can compete(Reference attached). Image processing is outstanding and you'll get tons of premium post editing features like object eraser etc. [No competition]Display: Its Samsung's Display so no comment needed. [Sexy dikhta h]In Hand feel: Bahut halka and grippy h. Premium feel aati h. Recently one of my friend bought iphone 14 pro we both found that very bulky and uncomfortable for long use. [best one hand friendly in market]Final verdict-: agar aapke mathe pe iphone k naam ka bhoot swar nhi h to S23 is a best deal for you. It has tons of premium practical features that no iphone can provide you. I accept people buy iphone for public appearance but if Samsung get that brand value then no iphone can compete S23.Edited: Superfast 5G support and very good HD call quality. No issues with mobile network found. Pop-up and Multi window (you can use as much apps as you can on one screen simultaneously) features are awesome. I am also adding SS of battery usages. Charging time from 0 to 100% is 1 hr 15 min.
"
155,"
Phone does the job, with all the features working as expected, camera has shutter lag, but samsung has told they will release the update related to camera 🤞, battery is decent for normal usage. While setting up faced heating issues after that not faced any issues, more than 2 weeks over. Fingerprint not detecting most of the times with screen protector.Overall enjoyed the phone.
"
156,"
I felt screen size and battery could have been improved. Heats up after 15 mins of gaming. Not recommended for heavy phone users with more than 5 hours of SOT. Also, built-in Samsung apps hangs sometimes.
"
157,"
This is probably the best 6.1 inch phone your money can buy and most premium phone in android. I am sure it will beat apple too in value for money.Got this phone for 50,800 after all the discount and exchanging my Oneplus 7T.* Build quality is just strong with aluminum frame and gorilla glass victus on both sides.* Display is full HD and is very pleasing to use. This is the best brightness I have experienced with 1750 nits. 120hz makes the user experience so fluid.* Storage of 256GB with UFS 4.0 and 8GB RAM makes the phone usage buttery smooth.* Cameras are top notch and software does a great job is delivering brilliant pictures.* BATTERY !! Yay this is the best part of this phone and what it can deliver with combination of QCOM Snadragon 8 gen 2 and 3900mah battery. The battery can most likely last 2 days for most common use cases.* Software experience has been improved with one UI and feels great. The updates are provided for 5 years which is longest in android world.Overall definitely recommend this phone as its the best compact android phone in 2023 your money can buy especially with all the discounts its pure value for money.Samsung nailed it with S23 series this year. Kudos !!
"
158,"
Beast performance and I got it for 49k and it’s value for money product
"
159,"
The phone is working fine. Very compact and sturdy. Very fast operations.  Take two 5g Sims. The key pad is very small and is difficult to type for persons with comparatively bigger fingers.
"
160,"
Pros: excellent look and feel , I've always wanted this compact mobile since iPhone 6 .Display is awesome , battery is cool , UI is smooth and I can say this is the best Android Mobile as of today (Mar 2023)Cons : Getting warm up sometimes , battery size could have been better , just 25 watt fast charging and price is quite high (I opted for exchange )Over all , it's more useful and productive usage
"
161,"
Perfect phone in all category 👌
"
