,reviews
81,"5 out of 5 stars review8/9/2023Nice product[This review was collected as part of a promotion.] I have this TV in my Bedroom. We use it everyday must of the time for streaming with YouTube, Prime or Netflix.
Easy to use great images 50"" is big enough for me and the best part, matches with my galaxy phone.Olivaoliva00Written by aSamsung UScustomer"
82,"5 out of 5 stars review8/8/2023Best View in the house[This review was collected as part of a promotion.] So prior to the Samsung tv I was  already sold by its easy and nice functions from my washer to my  phone, you have always been great. Since I purchased my Samsung UHD I am a different person.  rather not watch other tv's and I am not sorry. the quality of the graphics while gaming, the picture is a perfect view from any angle (even with the sun shining on it), its wonderful. the sound ....OMG... I jam out!!!!! Greatest invest meant ever. 

Oh yeah not to mention with the Samsung TV & Samsung Galaxy device I downloaded the Free app and can enjoy my shows on tv while i'm on the go...SpoiledSamsungUser00Written by aSamsung UScustomer"
83,"5 out of 5 stars review8/8/2023Amazing Quality[This review was collected as part of a promotion.] I have always said Samsung makes the best TV's. I feel as though the older I get, the larger my TVs get. Indo have to say when I purchased this particular Tv and it arrived I felt as though it may be a little too big. Once it was on the wall and set it up, I couldn't have been more wrong. This Television is absolutely remarkable. I wish I could get the 75” for my TV room. In due time. You will not be disappointed with this televisionMelanieR00Written by aSamsung UScustomer"
84,"5 out of 5 stars review8/7/2023Worth the money[This review was collected as part of a promotion.] Use it for binge watching shows and playing console. The picture mode for gaming is just what I needed. Fits perfectly fine in my bedroom space. The picture quality is just amazing. For the money I spent, I honestly was skeptical about the product but it proved me wrong. Using it from almost last 2 years.HopeIwin00Written by aSamsung UScustomer"
85,"5 out of 5 stars review8/8/2023Great picture![This review was collected as part of a promotion.] We picked this tv out for use in our living room. The picture is fantastic (especially for the price)! Fits perfectly in our wall cutout as well. Setup was super simple as Samsung makes this process user friendly.

5 starsGem2Decorate00Written by aSamsung UScustomer"
86,5 out of 5 stars review8/11/2023VIVID COLOR BRIGHTNESS & DETAIL TRUE BLACK LEVEL[This review was collected as part of a promotion.] Used for gaming and streaming but is my PC monitor it is my entertainment consoles Center peace Vivid brightness amazing resolution great refresh rate black levels are truly black not grayscaled price point was perfect for this high quality of TV makes my Madden soft fluid I would say my favorite feature is Vivid bright colors that pop even in the daylight astonishing I'd buy another I recommend it and I'm giving it my highest rating a five-star review and well deserved would buy and buy again but looks like this TV is going to last it is well built the screen to body ratios perfect but then again Samsung has always been good at reducing the body of its devices that with the brand Samsung ...See moreGeeksGuru00Written by aSamsung UScustomer
87,"5 out of 5 stars review8/8/2023The best choice ever![This review was collected as part of a promotion.] I use my Samsung for streaming and accessing all the channels I could ever dream to. The picture quality is excellent, though what I really like is the intuitive nature of Samsung technology . From set-up to navigating the TV's features and benefits is easy and well designed. I have owned many TV's and many brands, I have never been more impressed with Samsung. I am a believer and am committed to the brand from here on in!Cashkin6200Written by aSamsung UScustomer"
88,4 out of 5 stars reviewVerified PurchaserHappy customer.I ordered online and had shipped to my home. Box arrived intact with no sign of damaged. Tv was packaged perfectly for a fragile item. Color is great I have no complaints. The sound increases to 100. I do feel the speakers are on the low side. Playing music and certain shows you would think that on 100 it would be blaring. I’m thinking of buying a sound bar to achieve a better sound system. I love the Samsung brand. This is my second tv by the supplier both bought at Walmart. My curved Samsung I had for 3  years broke due to human damage but worked excellent before it was broken. This 65” was its replacement and I’m happy yet again.Brittany
89,"1 out of 5 stars reviewVerified Purchaserlasted 11 daysI received this TV for Christmas and it wasnt bad for 11 days. I turned it on the 11th day and a separation/line 3/4 of the way up on the screen. From that point down there is a clear quality issue... The TV was not that bad. brightness in HDR was definitely bad but playing xbox games looked really good. If you choose this TV, definitely purchase extended insurance. I may have received a bad one.ToddSamsung
Hi Todd, Thank you for your purchase and for letting us know about the display issues you see on your TU7000 TV. Please know...See more"
90,"2 out of 5 stars review5/14/2023Screen and speaker distortionGood picture quality until the distortion started. TV is two years old and has a vertical stripe near the center of the screen. Very annoying. 

Also, the speakers produce strange audio occasionally. Sounds like someone speaking through a voice changer at a slower rate. 

Can't recommend this TV.DocGeeBee00Written by aSamsung UScustomer"
91,"3 out of 5 stars review5/11/2023Picture Great, Apps not so much.Picture quality is great.

Problem is with smart tv and Samsung tv plus:
1. Too slow to get to your apps.
2. Too slow to change channels in TV+
3. Alexa works once in a while to turn off/on tv
4. Some Apps can't be deleted from the Home page or from the Remote.chelpers00Written by aSamsung UScustomer"
92,"3 out of 5 stars reviewVerified Purchaser8/14/2023Samsung 65in TVThe Tv is a great upgrade, but there are few downsides about it. 

(1)- Tv lags regularly when trying to open different streaming apps and loads slow 

(2)- Connecting to the internet. 
It says it's not connected but my internet shows everything is working. 

(3)- you can not share screen from phone to tv in case you wanted to watch a game from your phone and want to put it on the tv , well it's not compatible for iPhone and surprisingly Samsung too. 

Overall if you don't mind the trouble we'll then the tv just works fine.Edward00"
93,"5 out of 5 stars reviewVerified Purchaser8/27/2023Would buy againExcellent tv; initially had an issue when turned on first time as there was a problem with the screen. It is fully under warranty the first year and Samsung had a local crew come pick up, and was fixed and delivered back to me within a week. Purchased when on sale and was $368M00"
94,5 out of 5 stars reviewVerified Purchaser12/5/2022ExcelenteVery big nice colorsSandra00
95,"1 out of 5 stars reviewVerified Purchaser8/8/2023Poor customer serviceMy TV is not working after 90 days of use. After getting confirmation to return it at a store, the customer service told that they only accept in store return within 30 days. So going forth and back with a 65” Tv is not easy. Now I got the information that warranty is only 30days and will get no refund, no repair nor a new TVNelson00"
96,"4 out of 5 stars review7/3/2023Legs too tallThis is about the 43-inch CU7000 F.
Is it possible to buy different legs for this TV? We told the sales person the under-counter clearance we had. He ASSURED us it would fit. It does not. Can we get shorter legs or pack it back up and return it?Kitchen sitter00Written by aSamsung UScustomer"
97,5 out of 5 stars review7/9/2023Nice TVI bought this new Samsung to replace an older 40” Samsung (that is still working by the way). I wanted a bigger and more up to date model with a pretty picture and this TV fit the bill.NewView00Written by aSamsung UScustomer
98,"1 out of 5 stars review7/17/2023Disappointed in this TV!Had the TV JUST OVER A YEAR AND IT STOPPED WORKING.  I can hear some sound; howler, no picture.  Had to constantly unplug the TV to get the Hulu and Netflix to workTerodin00Written by aSamsung UScustomer"
99,5 out of 5 stars review3/12/2023Samsung is the bestBest tv ever . I'm sold !!! I love how I can control my game system with the tv remote . The graphics goes perfect with call of duty modern warefare .KByrd10Written by aSamsung UScustomer
100,5 out of 5 stars review1/3/2023Great Picture great features.This was a size upgrade from my other Samsung 50 inch curved. The picture is almost like real life. Setup was simple. Infact I have Antennae TV and I didn't have to scan it cam in as soon as the setup was finished. You would love this TV. I also love Samsung TV Plus. WOW. My only disappointment is the speakers are not all that good.HD96 PRUFF00Written by aSamsung UScustomer
101,"1 out of 5 stars review2/14/2023Dead pixels after 4 months & broke after 1 yearafter it was serviced with a full screen replacement after 4 months of ownership (when it was still under warranty) because of dead pixels appearing, this tv completely broke down after 1 year and 1 months. it basically will power on and show a black screen. the samsung menus are still showing with no pictures. it's funny how it stopped working exactly 1 month after the warranty has expired.Edward00Written by aSamsung UScustomerSamsung Brand AmbassadorHi Edward, 

I'm sorry to hear that your TU7000 TV screen is showing a blank screen. Please try these troubleshooting steps t...See more"
102,"4 out of 5 stars review4/1/2023Easy hook up, great picture!!!Got a great deal on this TV. I love the 55” screen, but it has a few dark areas. Very good picture and sound. Very easy to hook up. We don’t use cable and it streams very well. Already own two Samsung TV’s, and will own another when our old TV stops working.Top Chef Fan00Written by aSamsung UScustomer"
103,"5 out of 5 stars review1/19/2023Beautiful picture quality!I've had this TV for about two weeks now no problems works flawless Beautiful picture great quality..Wow! the 4K Crystal UHD makes a big difference the video comes to life it's like actually being there in person! Amazing video quality I highly recommend this Samsung 55"" TU7000BVictor R00Written by aSamsung UScustomer"
104,"1 out of 5 stars review1/14/2023Was great then not workingI bought this tv the 70 inch back in 2020 it’s been working well but now it won’t turn on its trying to turn but it can’t so you would see a little bright light but then it disappears no screen and no sound and the little red light below it is just flashing on and off.Julien00Written by aSamsung UScustomerSamsung Brand AmbassadorHi Julien, 

I'm sorry that your TU7000 TV will not turn on. Please know we are here to help and have a few troubleshooting t...See more"
105,"5 out of 5 stars review2/12/2023Best TV for the priceThis TV is an excellent choice for the price. It’s got a great display, easy 10 minute setup, the app that connects to the tv is helpful, and it’s just the perfect size without being too big. Everyone that comes over always compliments and guesses it’s 70” atleast. Really great buy, wont go wrong.Tc3700Written by aSamsung UScustomer"
106,"5 out of 5 stars review4/19/2023Great FeaturesExcellent Device, intergrade with my Home system was seamless and easy. Ambient mode is a Plus. Picture has a dazzling effect and totally controllable. Google assistant or Apple is work around, haven't intergraded into my Nest network. Although, the Samsung app will show all my cameras.
I'm very impressed with the TU7000 and all my T.V s have been Samsung.GOGOH00Written by aSamsung UScustomer"
107,"1 out of 5 stars review3/27/2023DarknessBought about 3 weeks ago, this is the darkest tv I have ever had, not what I am used to from Samsung, with brightness all the way as far as they let you adjust it, still dark, limited adjustments on color, a lot of selections are greyed out with no explanation on how to turn them on. Samsung used to be the best on the market for years, sadly, I guess thats over.Feel Scammed00Written by aSamsung UScustomer"
108,"5 out of 5 stars review3/8/2023Amazing hdtv worth the moneyI received this hdtv as a replacement. The TV was very easy to put together out of the box. The set up for user settings was easy and the remote is very easy to use. Connecting to my home Wi-Fi was no problem. The TV is very easy to use. The sound is good I like the picture I’m amazed. The quality of video that I watch is very clear. The fact that I am watching older videos and the quality is still very clear. It is amazing. I would recommend this TV to anybody upgrading from a smaller size or may be changing from one branch to another.  I have this in my bedroom, so I watch this a lot when I’m ready to go to bed or at the end of the day.Lwilliams52300Written by aSamsung UScustomer"
109,"5 out of 5 stars review2/15/2023Picture perfect!I purchased this tv about a month ago and I’m very Ty 
glad I did. The pic is crystal clear. Picture perfect! The color is vibrant and beautiful. Work well with my direct tv streaming. Features are pretty cool. Has extra apps to downtown. The remote works great. It was delivered on time no delays. I really adore this set I’m very excited that I made the purchase.Shopaholic 4 life00Written by aSamsung UScustomer"
110,"5 out of 5 stars reviewBeautiful Display[This review was collected as part of a promotion.] The 1st thing I thought when I saw my ps5 displayed on it was ""Wow, so much color and detail!"" My games have never looked better and it's hard to believe what I got for the price I paid. The motion rate does an incredible job at making games and movies all run very smooth and clear. The size of the 43"" TV is great for my personal use and it fits in my space very well. There's only one thing I wish they could update yet. I would appreciate if I could use the ""Picture Clarity"", aka motion enhancer in game mode. I have to turn off game mode to use it, which is not really any work at all, and my ps5 has very smooth graphics, but then there's the Nintendo switch that can sometimes only do 30 fp...See moreHenryHWritten by aSamsung UScustomer"
111,"1 out of 5 stars reviewMissing Remote SensorI bought this 75"" TV yesterday to replace my 50"" that I bought 3 years ago. My 50"" suffered the ""black screen of death"". I was excited to get the TV home and setup. It took about an hour to setup and reposition my wall mount. After getting some help to pick up the TV and put into place we tried to turn it on but did not have any luck. We replaced the batteries but did not have any luck. I tried to find the button to power on the TV but it was not there. The whole remote sensor located on the bottom middle of the TV was missing. We looked to make sure it was not sitting in the box but it was not. The Box was in perfect condition and even still had the three plastic banding straps just like the other TV's. Now I have to re-box this TV and tra...See moreBearing87Written by aSamsung UScustomerSamsung Brand AmbassadorHi Bearing87,

It’s unfortunate that you’re experiencing issues with your CU7000 TV sensor, and we appreciate your patience i...See more"
112,"5 out of 5 stars review7/5/2023The Samsung quality I have come to expect![This review was collected as part of a promotion.] I have been loyal Samsung customer for many years, then last year I must've lost my mind as I bought an LG. The past year was one of misery with this algae product! So this year I bought myself another new Samsung for my bedroom and replaced the LG in my living room with a new Samsung and couldn't be more pleased; I will never stray again!Papahoney00Written by aSamsung UScustomer"
113,"5 out of 5 stars review7/6/2023My big Samsung TV[This review was collected as part of a promotion.] I use my tv to watch any movie because it's a smart tv. I watch old tv shows, game shows, and movies that are at the movie theater. I have all networks, like Netflix. This is my first time having a 65 inch and I'm very excited to have this tv, like I'm at the movies. It's the top of the line in the brand. I really don't care for nobody to mess with it, too over protective because I own this tv. It's special to me. Thank you so much Samsung. I really feel like you made this tv just for me!!Marilyn00Written by aSamsung UScustomer"
114,"5 out of 5 stars review7/29/2023Love my new TV. The set-up and the picture clear[This review was collected as part of a promotion.] We purchased the television for our living family room.  I love the ease of use with the different streaming apps. One click and I'm on my favorite streaming platform. I was completely shocked when I  clicked on the Samsung TV Plus app, all the channels.  It offers so many options for viewers. 
Even if you don't have cable as long as you have an internet connection then you will not get bored. There are so many different channels to choose from.I love my SAMSUNG TV.  I love my SAMSUNG TV.Godsgirlsteph00Written by aSamsung UScustomer"
115,"5 out of 5 stars review7/12/2023I love it and it works great!!![This review was collected as part of a promotion.] 🖥 This TV works better than I thought . I have always and will forever love Samsung and I am a huge Samsung fan! They're products, are quality products and last a long time!!! You can tell that they put the time and effort to make the best quality electronic devices. 🩷 I always will recommend Samsung products especially this television,  it definitely  doesn't disappoint!!!Dmoody00Written by aSamsung UScustomer"
116,"5 out of 5 stars review7/30/2023I love samsung and all my samsung products.[This review was collected as part of a promotion.] I have 2 Samsung tvs, 2 Samsung phones, wireless Samsung earbuds, sunglasses, t-shirts, etc. I love how seamless all Samsung product's work together and would love this prize! It would be a blessing! 🙌LisaBlack00Written by aSamsung UScustomer"
117,"4 out of 5 stars review7/14/2023Has a great display.[This review was collected as part of a promotion.] I use my TV mostly for my Xbox, I love that it's gaming mode is automatic. Really happy with the resolution of the TV. I also love the apps on the TV such as Spotify. I love using my Google assistant or bixby to control my TV, it makes it a lot easier.Captain00Written by aSamsung UScustomer"
118,5 out of 5 stars review7/11/2023Great picture and easy set up[This review was collected as part of a promotion.] I am so glad my wife got the Samsung television. It was very easy to set up and the picture is great. I was able to add all of our channels to it with no problems. It was easy to attach to our existing wall mount. The remote is simple and easy to use. The picture quality is superb.SuperJames7600Written by aThe Insiderscustomer
119,5 out of 5 stars review7/5/2023Samsung never disappoints[This review was collected as part of a promotion.] We love the features and clarity of this tv at such an affordable price. We loved it so much we bought a second one for our small office too. Anytime were ready to purchase a TV it's always Samsung without any hesitation.Bentley00Written by aSamsung UScustomer
120,"5 out of 5 stars review7/16/2023Crystalseries[This review was collected as part of a promotion.] Well I bought  this TV  a couple  years ago  but still looks like a newer model .is working perfect sound and picture wouldn't be better  quality of TV is great  , I got three kids and they really use the television and they find easy to use apps in this TV  as you  should  know they use TV daily  , me and my wife uses commonly  to watch movies  and really enjoy  every time Samsung  brand  means quality  is for that fact that I trust on  it .
Not only tvs ,all the cell phones that  we have  are the same brand , in conclusion  I hardly recommend  the brand   and not only cells and tvs  there's a lot of products  that you can enjoy from they  so once again I completely  recommend  SamsungCheke197600Written by aSamsung UScustomer"
121,"5 out of 5 stars review7/10/202343 "" Samsung crystal uhd[This review was collected as part of a promotion.] I love my samsung tv i use it for everything from cable to gaming to mirroring and using the apps couldnt ask for a better tv honestly i would be shocked to win ive never won a prize like that before.Jordys00Written by aSamsung UScustomer"
122,"5 out of 5 stars review7/5/2023This TV has great features[This review was collected as part of a promotion.] We use it for streaming, playing movies and gaming, it is easy to navigate and the apps are the most helpful. Also, the Samsung live TV addition is incredible and easy. I can choose to stream a show or movie or watch live TV! The picture quality when gaming is clear the resolution it's on another level. Overall great quality , perfect for a movie night!Melifran00Written by aSamsung UScustomer"
123,"4 out of 5 stars review7/27/2023Beautiful picture[This review was collected as part of a promotion.] Mostly use it for gaming, music and streaming shows or movies.  Dex capabilities are pretty sweet! Workspace is definitely a nice little addition.  Love the streaming video game services.  Bluetooth enabled so I can connect a controller or even a keyboard.(especially in Dex mode)krackerkrusher00Written by aSamsung UScustomer"
124,5 out of 5 stars review7/5/2023Excellent quality tv 📺[This review was collected as part of a promotion.] I used this tv for streaming and for watching regular tv stations. Excellent picture quality. I'm enjoying this tv very much. Sound quality is great as well. Beautiful picture. Will probably purchase another for my bedroom in the future. The price was extremely reasonable for my budget.MweezieB00Written by aSamsung UScustomer
125,"5 out of 5 stars review7/6/2023This product has a lot of great features[This review was collected as part of a promotion.] Samsung tv is a great product. Pictures are the best quality I have seen so far. Next year, bigger and better for sure! Would recommended to everyone. The size is perfect for anyone with vision problems.dwendell00Written by aSamsung UScustomer"
126,"5 out of 5 stars review7/6/2023Nice quality, smart system[This review was collected as part of a promotion.] I use the TV mostly for streaming and playing video game with my Xbox. The picture quality is great and screen size is decent to watch any show. I am actually very happy watching 4k movies on this TV. You just need to add another good sound bar system. Samsung's smart system is easy to use and works great too (I prefer it compared to LG's one). There are free shows and movies you can watch there too.kualafication00Written by aSamsung UScustomer"
127,"5 out of 5 stars review7/5/2023Spectacular Picture!!![This review was collected as part of a promotion.] I watched “TV” on my iPhone for three-plus years. My TV had stopped working and I was determined to have it repaired.   The pandemic made me care less.  My 88 year old Mother could not understand why I did not just buy another TV.  She finally gave me a check for $500 and told me to buy a TV, NOW! LOL I had enough money left over to also buy a TV wall mount. I had plenty of money to buy my own TV, but she wanted the credit and her insistence made me feel guilty.  I often thank her for her insistence and the extravagant gift.  

Before purchasing, I spent a great deal of time checking reviews. I decided the CU7000B was the TV for me. I love the crisp picture, excellent speaker quality and t...See moreTrumpetaddict00Written by aSamsung UScustomer"
128,"5 out of 5 stars review7/22/2023Awesome tv[This review was collected as part of a promotion.] Crystal UHD TVs are known for their crisp and vibrant picture quality, offering enhanced color reproduction and sharpness. They often support high dynamic range (HDR) technologies, such as HDR10 or Dolby Vision, which provide a wider range of colors and improved contrast. This can result in more realistic, lifelike images that offer a more immersive viewing experience.

In terms of smart features, Crystal UHD TVs usually come equipped with smart platforms like Tizen or webOS, depending on the manufacturer. These platforms offer access to a variety of streaming apps, allowing you to enjoy popular content from services like Netflix, Amazon Prime Video, and Hulu. Additionally, you can typical...See moreJalenX10000Written by aSamsung UScustomer"
129,"5 out of 5 stars review7/5/2023This tv has a crystal clear picture, and I love to[This review was collected as part of a promotion.] I use this tv on my back deck to watch sports.  It has a great picture and I highly recommend it.  It's a great tv.  The remote control is easy to use, along with the DIRECTV remote.  For the amount of money I paid for this tv, it is a great bargain.  I live everything about this tv also.  It's very light weight and very easy to store.  It's a great tv.  It looks great and works great.  My friends are very impressed by the picturePozzytraction2600Written by aSamsung UScustomer"
130,5 out of 5 stars review7/13/2023My favorite TV![This review was collected as part of a promotion.] I love my new Samsung Smart TV! It has all the capabilities I could ask for and has settings in the remote so I can easily find my streaming apps. I also love the color definition and different options to change display settings for when I'm watching a movie or a colorful show. I love everything about it and it's cool to have a few built in live channels to browse. The Crystal UHD 65 inch was the best purchase I could have made for a new TV. I have another smaller 35 in Samsung and it compliments the other so well. Samsung has the best resolution and the best color for a TV.Samsunglove00Written by aSamsung UScustomer
131,5 out of 5 stars review6/16/2023Samsungs R AwsomeI am very happy with my TV will never be able to watch movies tv series and games like never the sameCj42024737520Written by aSamsung UScustomer
132,"4 out of 5 stars reviewGreat features, able to play Xbox without console[This review was collected as part of a promotion.] Love the Xbox gaming feature without the need for a console to be connected directly to the TV. Great picture and colors. One Con is that the TV sometimes is slow to respond to changes when using the remote and line of site is clear.OhMarcPaulWritten by aSamsung UScustomerSamsung Brand AmbassadorHi OhMarcPaul,

I'm happy to hear you are enjoying your new CU8000 TV with Samsung Gaming Hub. If you are experiencing issues...See more"
133,"1 out of 5 stars reviewVerified PurchaserI dont know what is it. When i try to play anything doesn't matter on youtube, netflix or just tv or xbox, it shows like that. I should try to plug out, plug in. Than it works. But i dont wanna do it all the time. Everyday. Which is not a normal!!GRSamsung
Hi GR, Thank you for letting us know about the issues you are experiencing with the CU8000B. We are here to help and have a ...See more"
134,"3 out of 5 stars review7/23/2023Why cut cornersi just bought one of these tvs haven't even got it hooked up yet. the reason is that it was apparently just too much for the shareholder's wallets to send it with spower cord that was long enough to be useful. some people have their cords in a chase in the wall. those cord is just a little shorter than the cords they used to have so i'm going to have to buy another. is this just cheapskates trying to save a penny or is it an a.i. developed strategy to get me to spend more money? either way you lost one customer. i'll send this back.Dmo100Written by aSamsung UScustomerSamsung Brand AmbassadorHello Dmo1,

I’m sorry to hear that your experience with Samsung’s CU8000 TV has fallen short of your expectations. Your feed...See more"
135,"5 out of 5 stars review7/14/2023Best picture ever![This review was collected as part of a promotion.] This is my 3rd Samsung TV and it is Fabulous! Every time I turn it on well, it's never off really. I can see the blemishes and wrinkles on people's faces. It's almost, all most too good. The sound is pretty good also and reverberates off the wall and makes it surround sound. You have to put it on the wall. If I outlive this TV (I hope) I will buy a 4th. There wasn't anything wrong with the 40 inch but I moved it to the bedroom. Anyway I have Samsung phones, tvs and refrigerator. Great products!Nikki5196400Written by aSamsung UScustomer"
136,5 out of 5 stars review7/6/2023Crystal Clear![This review was collected as part of a promotion.] This TV is great for playing video games and it's even better when it's that time for a movie! I love it so much! I can't get enough of this 4k Crystal Clear picture. Simple interface so is easy to navigate the menus.Meazy4sheezy00Written by aSamsung UScustomer
137,"5 out of 5 stars review7/10/2023I love the tv[This review was collected as part of a promotion.] I enjoy spending time together with my kids watching TV
The sound.                                                                                                                                        The pixel

Is amazing

I recommend 100%
AllJulitog2900Written by aSamsung UScustomer"
138,"5 out of 5 stars review7/6/2023Enjoying TV[This review was collected as part of a promotion.] Enjoying watching the TV-great picture and sound. My DIRECTV stream works well and have used the Samsung TV+ when I had trouble with my streaming service. 

Would buy this TV again. Samsung I'd a good quality brand and this particular TV is great for the space and the needs so have.Mightymouse00Written by aSamsung UScustomer"
139,"4 out of 5 stars review7/5/2023Beautiful picture, even from side angles[This review was collected as part of a promotion.] We use this as our main television for streaming movies and shows. Fits perfectly into our Entertainment Center.  All of our guests can see every detail regardless of their seating positions.  It is just a wonderful TV.Jerry1200Written by aSamsung UScustomer"
140,"5 out of 5 stars review7/20/2023This product is great[This review was collected as part of a promotion.] I bought this TV to watch the NFL playoffs. Removal from the box was pretty easy as was the install. Two people are needed if you are placing it high.

The initial set-up was fast and it was easy to connect to my wi-fi. All options are easy to get to. The sound is decent but would be nice if it was a little louder.

Overall the TV has been great to watch sports and movies.LouieLou00Written by aSamsung UScustomer"
141,5 out of 5 stars review7/10/2023Tv is very nice for the price and piture[This review was collected as part of a promotion.] The samsung UI is very familiar with me which make the operation very simple.  Picture is fairly clear but some flickering does have on occasion during live broadcast. Overall the TV is a great value and looks great for a 2 year old TV.samsung7500Written by aSamsung UScustomer
142,4 out of 5 stars review7/5/2023It's nice![This review was collected as part of a promotion.] Overall it's fantastic. It has a couple hiccups in the software but nothing to render it unusable. Great picture and great sound. The remote is simple to use and the ability to use the Smart Things app to control the TV is a fantastic feature. Super easy to wall mount and looks like it belongs on the wall. Definitely recommend this product.thisdobeleetho00Written by aSamsung UScustomer
143,"5 out of 5 stars review7/5/2023Beautiful picture[This review was collected as part of a promotion.] Fantastic picture , easy to use and program.  I own several Samsung TV is different sizes and enjoy them all. Samsung is an excellent product I recommend these TV's to all that love wonderful color. Shipping and customer service are excellent.Biohound100Written by aSamsung UScustomer"
144,5 out of 5 stars review7/19/2023I love everything about it...[This review was collected as part of a promotion.] I love my new Samsung T.V I use it for everything and it's great .. My kids can watch there favor shows on it as well as I can watch all my shows and all my football games as well .... Over all its just a great product... thanks samsung for making once again an outstanding item..Emoney8400Written by aSamsung UScustomer
145,"4 out of 5 stars review7/17/2023Samsung 65"" C8000B review[This review was collected as part of a promotion.] We love this TV. I do wish it had better speakers. The stands could be a little closer together on these bigger TVs. Unless you mount the TV on the wall, it's extremely hard to fit it on common furniture.Ironman00Written by aSamsung UScustomer"
146,"5 out of 5 stars review7/5/2023My Samsung is fantastic[This review was collected as part of a promotion.] Right now I am watching a wildlife documentary. I feel like I am right there. The visual and sound makes me feel like I am almost a part of the video. The color and visual projection is extraordinary to say the least. I am not an expert but all I can say is “WOW”. I like the voice remote. It makes finding my program very simple and it makes finding were a left off viewing also easy. I am a TV Junkie. I watch concerts, movies, U-tube, local and national programing as we videos through my VCR and DVR and more. It all works seamlessly. I am vey happy Samsung-for-life-owner. I highly recommend this TV.Glued2mysamsung00Written by aSamsung UScustomer"
147,"5 out of 5 stars review7/10/2023This has been my favorite TV so far![This review was collected as part of a promotion.] I upgraded from a 40"" Samsung to the 55"" and it was worth it! I use my tv for the basic streaming (love Samsung's smart features) but I also use it for my playstation 5 and cast my devices easily to it. Overall Samsung is my go to brand for many things but I don't know how anyone can beat their tvs.Metanoia00Written by aSamsung UScustomer"
148,"5 out of 5 stars review3/18/2023Good quality TVPerfect tv that fits all families and will be something that we all look forward too.Mabel72Written by aSamsung UScustomerSamsung Brand AmbassadorHi Mabel, 

Thank you for your purchase and kind words about the new Samsung CU8000 TV. We hope you and your family enjoy wat...See more"
149,4 out of 5 stars review8/10/2023Good bang for the buck!Nice TV for the price. Coloring was off and overly saturated. Had to spend a while tinkering to get everything looking just right. Love the slim remote that controls my Apple TV too.RobDad00Written by aSamsung UScustomer
150,"1 out of 5 stars review8/13/2023Not the same quality productBought this on 07/31 and has already been taken by Samsung service to the shop for repair.  Thank goodness I took the additional service protection plan; appears it will be needed.00Written by aSamsung UScustomerSamsung Brand AmbassadorHi sadincincinnnati,

I am very sorry that you experienced issues with your CU8000 Crystal UHD TV and are currently waiting f...See more"
151,"3 out of 5 stars review8/6/2023Not great picture qualityWould not recommend.  Sometimes you can't even tell if the channel is HD. There are many better Samsung options and better options at the price point.Eric00Written by aSamsung UScustomerSamsung Brand AmbassadorHi Eric, 

Thank you for reaching out and letting us know about the issues you are experiencing with the HDR mode on your CU8...See more"
152,"1 out of 5 stars review8/28/2023Half screen dark. Other half lighter.I bought this product 4 months ago. 
Now one side of screen is darker than the other. 
Now I'm trying to get it fixed. The process to get someone out to fix it is ridiculous. Still can't schedule after text with 4 different people. It is horribleJoey00Written by aSamsung UScustomer"
153,"5 out of 5 stars review5/7/2023Amazing untill[This review was collected as part of a promotion.] The picture quality has has been amazing wither it be on streaming services, gaming, or on youtbe , it would never lag or the audio lag witch was amazing. I would always come home and watch my shows and relax . The only thing I have to complain about 
Would have to be the price . My 3 yr old autistic son absolutely loved wating a ocean documentary , it would calm him down instantly no matter but one day I think he thought he would be able to swim with the fishes and needless to say my amazing samsung tv is no more I had to downgrade because I'm a single dad on a budget
And I can definitely tell everything about my samsung tv was 1000 times betterKody39900Written by aSamsung UScustomer"
154,"5 out of 5 stars reviewVerified PurchaserLooks so beautiful, very quality picture with good brightness, good sound and quick menu, for this money very good tv, I order with delivery to door and everything was cool, new tv without damage, I understand that tv with more expensive price more better, but this is good offer."
155,"1 out of 5 stars reviewVerified PurchaserPoor service qualityWe received the our tv damaged. Fed ex picked it up and we received another damaged tv. I will no longer purchase big ticket items from WalmartSandraSamsung
Hi Sandra, I'm very sorry that you have now received two damaged CU7000 TV units. Please know that your feedback will be sha...See more"
156,5 out of 5 stars review5/31/2023Best Tv  Ever[This review was collected as part of a promotion.] First off it's a smart tv which is great my dad brother and boyfriend all suggested this one and I love it. The picture quality is great and the ability to watch live tv for free is a game changer. Take that extra 50 bucks a month for cable and in less than 6 months your tv is paid off. Great tv highly recommendLexilou00Written by aSamsung UScustomer
157,4 out of 5 stars review5/13/2023I love my Samsung tv[This review was collected as part of a promotion.] I absolutely love my Samsung tv!! The picture is fantastic! Doesn't really matter if my son is playing his gaming console or I'm watching a movie the vibrant colors and sharp images make it easily my favorite TV to watch in my home!!Jonmon2x00Written by aSamsung UScustomer
158,5 out of 5 stars review5/8/2023Love my new TV[This review was collected as part of a promotion.] Beautiful picture with lots of smart features and easy to control. Love that I can link it to my phone as well. All I need is a soundbar to enjoy the full movie like experience. I'm loving my smart TV.Sike17300Written by aSamsung UScustomer
159,"5 out of 5 stars review5/29/2023Can't complain[This review was collected as part of a promotion.] I love this TV, easy to set up, easy to download the apps of your choice. My son even enjoy it because of the XBOX app, he don't have to drag his console to the frontroom.

I'm definitely impressed with my choice to pick this TV.Blackbeautyg3700Written by aSamsung UScustomer"
